Epoch,Train Loss,Val Loss
1,3.221729297392993,3.0629206469832306
2,2.4600208864357564,1.8547629350111663
3,1.189782769223285,0.670015657398273
4,0.5804373338820437,0.1978307325252092
5,0.2400197916827303,-0.10697686702059063
6,0.06935891898553058,-0.26751661439146607
7,-0.04747257404099881,-0.4159834899861675
8,-0.18094908701218435,-0.5440772700233151
9,-0.2759869509255432,-0.65261288518566
10,-0.3515539741712859,-0.7892491917741296
11,-0.4551353022310695,-0.915096687415755
12,-0.53598852921254,-1.0320216973228369
13,-0.6448830926902063,-1.149634739951696
14,-0.7394514330149059,-1.269404064650539
15,-0.8094858311916937,-1.3928110261105573
16,-0.8897294260598897,-1.4790304093056637
17,-0.9692669530460615,-1.50865165444258
18,-1.033066136721509,-1.6267111282485858
19,-1.0831532440548786,-1.7129341889600431
20,-1.1409281986239133,-1.7454808173650282
21,-1.193170555480623,-1.810118029497547
22,-1.2675841361683804,-1.8733770449043718
23,-1.300276584200825,-1.9471860078921508
24,-1.3435743241482188,-1.9989838415318832
25,-1.397746341289421,-2.038791704513484
26,-1.440892328317409,-2.096547501037103
27,-1.4687389991074642,-2.0654031647647266
28,-1.5293232428385986,-2.1513863474745634
29,-1.5634627287752547,-2.20010027654856
30,-1.6037822230045555,-2.221707751551201
31,-1.644884562950838,-2.293970099629364
32,-1.6778970954112573,-2.3280894615029717
33,-1.694569651578455,-2.329201716667893
34,-1.7381449155285893,-2.3897664195703463
35,-1.7890299197259194,-2.4033863443666434
36,-1.780451885601398,-2.4522264488527408
37,-1.8131261334956863,-2.4833181418438515
38,-1.8334712428384081,-2.5092084196951596
39,-1.8695851398820829,-2.5340599296831976
40,-1.9107589445063975,-2.52979067397191
41,-1.912594593581031,-2.5995445411958147
42,-1.9474836530279274,-2.5886200797093744
43,-1.9794635708660313,-2.617003668447594
44,-1.9976658803993355,-2.6538851885346335
45,-2.0203776619671,-2.692027595618159
46,-2.0407451678614716,-2.702671903711511
47,-2.0685210274953842,-2.7507980199291344
48,-2.067196075103448,-2.78645608382999
49,-2.0729824933729475,-2.7687438082713562
50,-2.083698694838695,-2.7137285356661978
51,-2.1391504504603125,-2.8001166341548442
52,-2.168027093299553,-2.839452308152914
53,-2.1462144457667987,-2.8630460525026145
54,-2.173088847310777,-2.868641698070003
55,-2.2001787650019478,-2.9020728239867983
56,-2.2276633414071276,-2.906036885396697
57,-2.1717318157458854,-2.9001232991988
58,-2.2531722651881467,-2.9635144106163125
59,-2.2646223745108625,-2.901988112425987
60,-2.2955467802975043,-2.9756879414233137
61,-2.293356586490327,-2.9971049337357782
62,-2.3417515428252895,-3.0355614524676855
63,-2.3522015378738366,-3.060601222152781
64,-2.3582898258653295,-3.032353917291987
65,-2.381671715120656,-3.063289195775071
66,-2.36795820038557,-3.0728441979781165
67,-2.3758002538257594,-2.9979567038019628
68,-2.4112208223418605,-3.121355192157585
69,-2.4222449735640392,-3.0892023109459603
70,-2.458666474131732,-3.162796458291857
71,-2.4161227604576148,-3.139611659842744
72,-2.4261945722089706,-3.1511883143004837
73,-2.4780082791891505,-3.1233865646578276
74,-2.4525342764865132,-3.132697150433149
75,-2.4669870702333316,-3.18755837717057
76,-2.467438805942445,-3.2122975661674196
77,-2.502778882671319,-3.1872464322826
78,-2.5157323983145896,-3.192405177415872
79,-2.5295790900421204,-3.189489286365221
80,-2.559992810300036,-3.2556308338392226
81,-2.5806845755558063,-3.252710660639441
82,-2.5869158032319453,-3.2552951426474754
83,-2.5861509401107146,-3.2780656235705656
84,-2.5686796136627565,-3.25791953359004
85,-2.574912026603678,-3.2242079828690633
86,-2.601395276581855,-3.301222069540395
87,-2.6265219905404,-3.3184265426244197
88,-2.6343653555257918,-3.356343159199887
89,-2.664542875567308,-3.3299784392533787
90,-2.6398725728110364,-3.334297801703594
91,-2.64968043488835,-3.3705657320603746
92,-2.6821897963971737,-3.3585915416317853
93,-2.67402644968975,-3.3208189481509884
94,-2.6545837558701932,-3.3659723279463214
95,-2.6696819987709253,-3.3786382402944106
96,-2.684763880785147,-3.3667854599334297
97,-2.7301883277150685,-3.3997530970987633
98,-2.719426724430516,-3.3668514404226904
99,-2.725451204474165,-3.407299758168455
100,-2.7482497502853698,-3.422029011713999
101,-2.7309477162692626,-3.482267620560376
102,-2.7325084745819552,-3.441154439218231
103,-2.741775151661435,-3.4570897736619486
104,-2.761192566318578,-3.4661943854358954
105,-2.8061450136968973,-3.48661604922182
106,-2.803485062881744,-3.491182875808116
107,-2.8186265260528462,-3.52607725048589
108,-2.7836176318387644,-3.5106349662733076
109,-2.822916908776871,-3.5148132921511555
110,-2.849141936846101,-3.47414821930921
111,-2.816066578079738,-3.527512484237722
112,-2.8610612547511898,-3.5574608003477497
113,-2.791331083130589,-3.4932253578866606
114,-2.8527882883351654,-3.584788201903866
115,-2.85848932581578,-3.5724915516626226
116,-2.8501625738918204,-3.5066079572883577
117,-2.87629080843028,-3.567012469441125
118,-2.8545992927879267,-3.4980373284745796
119,-2.8820366246211155,-3.5871062133872407
120,-2.893899168720626,-3.5589743345319227
