Epoch,Train Loss,Val Loss
1,3.2092287218182474,3.035644000545329
2,2.357824235753004,1.9071952307029134
3,1.163820614400975,0.6261182044941783
4,0.4584750169425633,0.1635299861825083
5,0.11941979400454462,-0.11506745852148817
6,-0.12276450268454209,-0.44596073390459406
7,-0.3000953321677174,-0.40614108664628695
8,-0.43775867629042464,-0.4768247183592605
9,-0.48323907512752273,-0.6981166108959049
10,-0.5665945977748539,-0.6596755857764043
11,-0.6332088610229708,-0.8007557158686973
12,-0.696760281789156,-0.8951389439080266
13,-0.740685954347293,-0.9857255045394727
14,-0.8015372235970485,-1.0344546395302858
15,-0.8700803941285238,-0.9639770368832439
16,-0.9128410080089875,-1.3293611994630052
17,-0.9737169800450758,-1.3244124782900941
18,-0.9878495121166367,-1.3136213749080707
19,-1.0536370278308071,-1.4471864474075264
20,-1.0878526126758623,-1.4996361536792862
21,-1.1484740257288852,-1.6199963607254149
22,-1.1908533744792043,-1.680799744289539
23,-1.2415249774269688,-1.6761264976523007
24,-1.2835281288361013,-1.7533172688112715
25,-1.311562943342793,-1.797590780617277
26,-1.3856795326385891,-1.9118406372134096
27,-1.4336448021674884,-1.95849322402626
28,-1.4698681157555782,-2.066485214940284
29,-1.4671487003411103,-2.0730594301886844
30,-1.528430374242681,-2.0796512995097114
31,-1.5792442973052714,-2.136610184220134
32,-1.619814554250515,-2.187463548195834
33,-1.6272234869509639,-2.264315642481004
34,-1.7105245061756487,-2.284416470529211
35,-1.7010029192732385,-2.3186195687573945
36,-1.7476054045424037,-2.36167973398765
37,-1.771824097637003,-2.41992610250344
38,-1.760997519092185,-2.3822591727812243
39,-1.8041834318905945,-2.4439052912211925
40,-1.8001407835680885,-2.4105096685511684
41,-1.8573845980792072,-2.532389764683348
42,-1.8512495393338764,-2.4879019305956773
43,-1.8801604536901406,-2.5325294906534657
44,-1.904613744976353,-2.580400722710937
45,-1.959693876268637,-2.6179740294911378
46,-1.9692859618503045,-2.552350037805263
47,-1.9836147756554288,-2.553644212904554
48,-2.0253506012122,-2.672523097498976
49,-2.056447302104442,-2.7384003647534025
50,-2.0650627060106537,-2.719592494225091
51,-2.084152931762547,-2.7858051762270652
52,-2.0375316434134034,-2.7090812063646514
53,-2.083958988138327,-2.7579530562195824
54,-2.1213911030821078,-2.7504902157813946
55,-2.153730679784623,-2.8528170582929175
56,-2.136891753126578,-2.8466734946198295
57,-2.1605424396370414,-2.8483825442778334
58,-2.1562887442676932,-2.853232266936857
59,-2.2284212061556192,-2.807513696049741
60,-2.211371386923869,-2.861743741421332
61,-2.247259607232054,-2.8901144786380826
62,-2.2507407719643218,-2.8937979241366105
63,-2.270753353987925,-2.9512377557822456
64,-2.304918919209746,-3.043068360233047
65,-2.320373442108372,-3.014955148305087
66,-2.3079360778173026,-2.9926215622269146
67,-2.323400751361249,-2.968253079751748
68,-2.3391034545719966,-3.046240550736817
69,-2.3880218129674953,-3.1154960740274085
70,-2.3949960525339233,-3.09242761065646
71,-2.3985077162658333,-3.0683390936754895
72,-2.4184422573032784,-3.130286285497297
73,-2.448863979111403,-3.1106320322480903
74,-2.425234698183462,-3.1773710349305215
75,-2.451877979738727,-3.0831098791927563
76,-2.497990772698509,-3.137847631213533
77,-2.4929848416645677,-3.152689186401057
78,-2.5226104807026193,-3.1423443152470867
79,-2.522219119772152,-3.188062188268435
80,-2.5653910212182183,-3.2212047112715316
81,-2.5478070631574083,-3.222715983318503
82,-2.5350187669733284,-3.294696475108186
83,-2.5713575318985824,-3.293808160539412
84,-2.616989362202011,-3.2749737514804687
85,-2.59601936758566,-3.29825777512265
86,-2.6017782039351474,-3.293535319911116
87,-2.6372105351395043,-3.3466777033887536
88,-2.6401419470880594,-3.3598284490913155
89,-2.6384837328182655,-3.4045624227762983
90,-2.6514011203411294,-3.3655230944834296
91,-2.633855300491817,-3.426395698585854
92,-2.689383814758521,-3.373985726941239
93,-2.678305248742105,-3.3986637615488657
94,-2.7031844194131986,-3.3407020558061853
95,-2.7201739698435823,-3.368997567619656
96,-2.719402871091069,-3.4744124935906546
97,-2.7095573573553495,-3.4767227561661103
98,-2.7594895651864673,-3.499124395634952
99,-2.7721621256701408,-3.509544713233086
100,-2.7480326768221186,-3.425388671726491
101,-2.7906804209278655,-3.487703772019464
102,-2.742454879058127,-3.513509734710143
103,-2.8007991891200823,-3.5159938411194607
104,-2.7468082457487317,-3.49999487326271
105,-2.8009060366618015,-3.570868276543272
106,-2.8253205488165856,-3.5761506836241326
107,-2.8449839890543682,-3.6114973515620403
108,-2.8068371127547,-3.5379513526326813
109,-2.8139699525138817,-3.580128894779032
110,-2.872904688205819,-3.5601697700516373
111,-2.870280447490952,-3.598068254131624
112,-2.8556826255830505,-3.588024836408869
113,-2.859088339290856,-3.6080328708302423
114,-2.9231914928779763,-3.624850389859736
115,-2.8909192691223877,-3.6108501761478258
116,-2.9004698487998284,-3.646633939275856
117,-2.9124453582536525,-3.649818349812472
118,-2.923657462809867,-3.6060382661773493
119,-2.9582163465577924,-3.6698571566202864
120,-2.916208343165891,-3.612237104366581
